key	en	tr	es	de	fr	ja	zh	pt
app_name	NetLurker	NetLurker	NetLurker	NetLurker	NetLurker	NetLurker	NetLurker	NetLurker
action.ai_analyze	AI analyze	AI analiz	Análisis IA	KI-Analyse	Analyse IA	AI分析	AI分析	Análise IA
action.clear_baselines	Clear baselines	Taban çizgilerini sil	Borrar líneas base	Basislinien löschen	Effacer les références	ベースラインを消去	清除基线	Limpar linhas base
action.clear_cache	Clear cache	Önbelleği temizle	Borrar caché	Cache leeren	Vider le cache	キャッシュを消去	清除缓存	Limpar cache
action.close	Close	Kapat	Cerrar	Schließen	Fermer	閉じる	关闭	Fechar
action.compute_hash	Compute SHA-256	SHA-256 hesapla	Calcular SHA-256	SHA-256 berechnen	Calculer SHA-256	SHA-256を計算	计算 SHA-256	Calcular SHA-256
action.export	Export	Dışa aktar	Exportar	Exportieren	Exporter	エクスポート	导出	Exportar
action.grant	Grant	İzin ver	Conceder	Gewähren	Accorder	許可する	授予	Conceder
action.grant_location	Allow location	Konum izni ver	Permitir ubicación	Standort erlauben	Autoriser la localisation	位置情報を許可	允许定位	Permitir localização
action.passive_dns	Passive DNS	Pasif DNS	DNS pasivo	Passives DNS	DNS passif	パッシブDNS	被动DNS	DNS passivo
action.pause	Pause	Duraklat	Pausa	Pause	Pause	一時停止	暂停	Pausar
action.public_ip.off	Hide public IP	Herkese açık IP'yi gizle	Ocultar IP pública	Öffentliche IP verbergen	Masquer l'IP publique	グローバルIPを隠す	隐藏公网IP	Ocultar IP público
action.public_ip.on	Show public IP	Herkese açık IP'yi göster	Mostrar IP pública	Öffentliche IP anzeigen	Afficher l'IP publique	グローバルIPを表示	显示公网IP	Mostrar IP público
action.recheck	Re-check	Yeniden denetle	Revisar erneut	Erneut prüfen	Revérifier	再確認	重新检查	Reverificar
action.refresh	Refresh	Yenile	Actualizar	Aktualisieren	Actualiser	更新	刷新	Atualizar
action.remove	Remove	Kaldır	Quitar	Entfernen	Supprimer	削除	移除	Remover
action.reset_session	Reset session	Oturumu sıfırla	Restablecer sesión	Sitzung zurücksetzen	Réinitialiser la session	セッションをリセット	重置会话	Reiniciar sessão
action.resume	Resume	Devam et	Reanudar	Fortsetzen	Reprendre	再開	继续	Retomar
action.save_cache	Save cache	Önbelleği kaydet	Guardar caché	Cache speichern	Enregistrer le cache	キャッシュを保存	保存缓存	Salvar cache
action.skip	Skip	Atla	Omitir	Überspringen	Ignorer	スキップ	跳过	Ignorar
ai.concern.disabled	These sources are switched off, so their absence is not evidence: {sources}	Bu kaynaklar kapalı; yoklukları kanıt değildir: {sources}	Estas fuentes están desactivadas, su ausencia no es evidencia: {sources}	Diese Quellen sind deaktiviert; ihr Fehlen ist kein Beweis: {sources}	Ces sources sont désactivées, leur absence n'est pas une preuve : {sources}	これらの情報源は無効です。 absenceは証拠ではありません: {sources}	这些信息源已关闭，缺失不代表安全：{sources}	Estas fontes estão desativadas, a ausência não é evidência: {sources}
ai.concern.no_abuse_key	AbuseIPDB was not queried because no API key is set	API anahtarı girilmediği için AbuseIPDB sorgulanmadı	No se consultó AbuseIPDB porque falta la clave API	AbuseIPDB wurde nicht abgefragt, da kein API-Schlüssel gesetzt ist	AbuseIPDB n'a pas été interrogé faute de clé API	APIキー未設定のためAbuseIPDBは未照会	未设置 API 密钥，未查询 AbuseIPDB	AbuseIPDB não foi consultado por falta de chave API
ai.concern.no_virustotal	VirusTotal was not queried because it is switched off or has no key	VirusTotal kapalı veya anahtarsız olduğu için sorgulanmadı	No se consultó VirusTotal por estar desactivado o sin clave	VirusTotal wurde nicht abgefragt (deaktiviert oder ohne Schlüssel)	VirusTotal n'a pas été interrogé (désactivé ou sans clé)	VirusTotalは無効またはキーなしのため未照会	未查询 VirusTotal（已关闭或无密钥）	VirusTotal não foi consultado (desativado ou sem chave)
ai.concern.pending	Still querying: {sources}	Hâlâ sorgulanıyor: {sources}	Aún consultando: {sources}	Noch laufend: {sources}	Requête en cours : {sources}	照会中: {sources}	仍在查询：{sources}	Ainda consultando: {sources}
ai.concerns.none	No additional concern beyond the evidence listed above	Yukarıdaki kanıtlar dışında ek bir endişe yok	Ninguna preocupación adicional más allá de la evidencia listada	Keine weitere Sorge über die genannten Belege hinaus	Aucune inquiétude supplémentaire au-delà des preuves ci-dessus	上記の証拠以外の懸念なし	除上述证据外无其他顾虑	Nenhuma preocupação além das evidências acima
ai.context_line	The following destination was investigated on an Android device. Evaluate it like a security analyst.	Aşağıdaki hedef bir Android cihazında incelendi. Bir güvenlik analisti gibi değerlendirin.	El siguiente destino fue investigado en un dispositivo Android. Evalúelo como analista de seguridad.	Das folgende Ziel wurde auf einem Android-Gerät untersucht. Bewerten Sie es wie ein Sicherheitsanalyst.	La destination suivante a été examinée sur un appareil Android. Évaluez-la comme un analyste de sécurité.	以下の接続先をAndroid端末で調査しました。セキュリティ分析者として評価してください。	以下目标在 Android 设备上被调查，请像安全分析师一样评估。	O destino a seguir foi investigado num dispositivo Android. Avalie-o como analista de segurança.
ai.field.abuseipdb	AbuseIPDB	AbuseIPDB	AbuseIPDB	AbuseIPDB	AbuseIPDB	AbuseIPDB	AbuseIPDB	AbuseIPDB
ai.field.banner	HTTP banner	HTTP banner	Banner HTTP	HTTP-Banner	Bannière HTTP	HTTPバナー	HTTP 横幅	Banner HTTP
ai.field.certificate	TLS certificate	TLS sertifikası	Certificado TLS	TLS-Zertifikat	Certificat TLS	TLS証明書	TLS 证书	Certificado TLS
ai.field.destination	Destination	Hedef	Destino	Ziel	Destination	接続先	目标	Destino
ai.field.dnsbl	DNS blacklist	DNS kara listesi	Lista negra DNS	DNS-Blackliste	Liste noire DNS	DNSブラックリスト	DNS 黑名单	Lista negra DNS
ai.field.geolocation	Geolocation	Konum	Geolocalización	Geolokalisierung	Géolocalisation	地理位置	地理位置	Geolocalização
ai.field.input	Input	Girdi	Entrada	Eingabe	Entrée	入力	输入	Entrada
ai.field.installed_apps	Installed applications	Yüklü uygulamalar	Aplicaciones instaladas	Installierte Anwendungen	Applications installées	インストール済みアプリ	已安装应用	Aplicações instaladas
ai.field.local_reasons	Local risk reasons	Yerel risk nedenleri	Motivos de riesgo locales	Lokale Risikogründe	Motifs de risque locaux	ローカルリスク理由	本地风险原因	Motivos de risco locais
ai.field.local_score	Local risk score	Yerel risk puanı	Puntuación de riesgo local	Lokale Risikobewertung	Score de risque local	ローカルリスクスコア	本地风险评分	Pontuação de risco local
ai.field.ownership	Ownership	Sahiplik	Propiedad	Eigentum	Propriété	所有者	所有权	Propriedade
ai.field.passive_dns	Passive DNS	Pasif DNS	DNS pasivo	Passives DNS	DNS passif	パッシブDNS	被动DNS	DNS passivo
ai.field.reverse_dns	Reverse DNS	Ters DNS	DNS inverso	Reverse-DNS	DNS inverse	逆引きDNS	反向DNS	DNS reverso
ai.field.sources	Sources answered	Yanıt veren kaynaklar	Fuentes que respondieron	Antwortende Quellen	Sources ayant répondu	応答した情報源	已应答来源	Fontes que responderam
ai.field.threat	Threat intelligence	Tehdit istihbaratı	Inteligencia de amenazas	Bedrohungsinformationen	Renseignement sur les menaces	脅威インテリジェンス	威胁情报	Inteligência de ameaças
ai.field.virustotal	VirusTotal	VirusTotal	VirusTotal	VirusTotal	VirusTotal	VirusTotal	VirusTotal	VirusTotal
ai.local_disclaimer	Local rule engine — not a language model. The structure matches the AI report; the content comes from the rules below.	Yerel kural motoru — bir dil modeli değil. Biçim AI raporuyla aynıdır; içerik aşağıdaki kurallardan gelir.	Motor de reglas local — no es un modelo de lenguaje. La estructura coincide con el informe IA; el contenido proviene de las reglas.	Lokale Regel-Engine — kein Sprachmodell. Die Struktur entspricht dem KI-Bericht; der Inhalt stammt aus den Regeln.	Moteur de règles local — pas un modèle de langage. La structure suit celle du rapport IA ; le contenu vient des règles.	ローカルルールエンジン — 言語モデルではありません。構成はAIレポートと同じで、内容は下記のルールから生成されます。	本地规则引擎 — 并非语言模型。结构与 AI 报告一致，内容来自规则。	Motor de regras local — não é um modelo de linguagem. A estrutura segue o relatório de IA; o conteúdo vem das regras.
ai.prompt.intro	You are a network security analyst. Evaluate the evidence below without inventing facts.	Bir ağ güvenliği analistisin. Aşağıdaki kanıtları olgu uydurmadan değerlendir.	Eres un analista de seguridad de red. Evalúa la evidencia sin inventar datos.	Sie sind Netzwerksicherheitsanalyst. Bewerten Sie die Belege, ohne Fakten zu erfinden.	Vous êtes analyste en sécurité réseau. Évaluez les preuves sans inventer de faits.	あなたはネットワークセキュリティ分析者です。事実を捏造せずに下記の証拠を評価してください。	你是网络安全分析师，请在不捏造事实的前提下评估以下证据。	É um analista de segurança de redes. Avalie as evidências sem inventar factos.
ai.prompt.language	Answer language	Yanıt dili	Idioma de respuesta	Antwortsprache	Langue de réponse	回答言語	回答语言	Idioma da resposta
ai.prompt.questions	Questions:	Sorular:	Preguntas:	Fragen:	Questions :	質問:	问题：	Perguntas:
ai.prompt.rules	Answer concisely, in bullet points. Do not invent facts; state clearly where you are unsure.	Kısa ve madde madde yanıtla. Olgu uydurma; emin olmadığın yerleri açıkça belirt.	Responda de forma concisa y en viñetas. No invente datos; indique dónde no está seguro.	Antworten Sie knapp in Stichpunkten. Erfinden Sie nichts; nennen Sie Unsicherheiten klar.	Répondez brièvement, par points. N'inventez rien ; signalez clairement vos incertitudes.	箇条書きで簡潔に回答してください。事実を捏造せず、不確実な点は明記してください。	请简明扼要地以要点回答，不要捏造事实，并明确指出不确定之处。	Responda de forma concisa, em tópicos. Não invente factos; indique claramente as dúvidas.
ai.prompt.structure	Answer in EXACTLY this structure (keep the headers): VERDICT / CONFIDENCE / WHY / CONCERNS / RECOMMENDATION / STEPS	TAM OLARAK şu yapıda yanıtla (başlıkları koru): KARAR / GÜVEN / NEDEN / ENDİŞELER / ÖNERİ / ADIMLAR	Responda EXACTAMENTE con esta estructura (mantenga los encabezados): VEREDICTO / CONFIANZA / POR QUÉ / PREOCUPACIONES / RECOMENDACIÓN / PASOS	Antworten Sie GENAU in dieser Struktur (Überschriften beibehalten): URTEIL / SICHERHEIT / GRUND / BEDENKEN / EMPFEHLUNG / SCHRITTE	Répondez EXACTEMENT dans cette structure (gardez les en-têtes) : VERDICT / CONFIANCE / POURQUOI / PRÉOCCUPATIONS / RECOMMANDATION / ÉTAPES	正確にこの構成で回答してください（見出しを維持）: 判定 / 確信度 / 理由 / 懸念 / 推奨 / 手順	请严格按此结构回答（保留标题）：判定 / 置信度 / 原因 / 顾虑 / 建议 / 步骤	Responda EXATAMENTE nesta estrutura (mantenha os títulos): VEREDITO / CONFIANÇA / PORQUÊ / PREOCUPAÇÕES / RECOMENDAÇÃO / PASSOS
ai.recommend.block	Block this destination and review the application that reached it	Bu hedefi engelle ve ona erişen uygulamayı incele	Bloquee este destino y revise la aplicación que lo contactó	Dieses Ziel blockieren und die zugreifende Anwendung prüfen	Bloquer cette destination et examiner l'application concernée	この接続先をブロックし、接続したアプリを確認してください	阻止此目标并检查访问它的应用	Bloqueie este destino e reveja a aplicação que o contactou
ai.recommend.investigate	Investigate further before allowing it	Diğer kanıtları toplamadan izin verme	Investigue más antes de permitirlo	Weitere Prüfung vor der Freigabe	Examiner davantage avant d'autoriser	許可する前にさらに調査してください	在允许之前进一步调查	Investigue mais antes de permitir
